Produto,Área_negócio,Subdivisão,Data_venda,Valor_vendas,Quantidade,Gama,Gama_2,Interface,Descrição,Descrição_detalhada,Subdivisão_agrupada,No_mês,Nome_mês,No_ano,Ciclos,Produto e Descrição Detalhada
0402501,Ginecologia,CASAJAR,30-07-2022,"646,07",113,Gama1,Keira,wes,Desc5,DescDet1,CASA,7,Julho,2022,2º (MAI-AGO),0402501 - DescDet1
3295001,Ortopedia,CLINTAL,08-04-2021,"971,84",70,Gama8,Emma,lxH,Desc2,DescDet3,CLIN,4,Abril,2021,1º (JAN-ABR),3295001 - DescDet3
6872032,Pediatria,CLINTR,18-11-2018,"195,95",189,Gama4,Jennifer,ehe,Desc6,DescDet6,CLIN,11,Novembro,2018,3º (SET-DEZ),6872032 - DescDet6
3295001,Ortopedia,CLINTAL,19-12-2021,"247,94",49,Gama8,Emma,UeB,Desc2,DescDet3,CLIN,12,Dezembro,2021,3º (SET-DEZ),3295001 - DescDet3
2983639,Cardiologia,CASAJAR,24-07-2018,"801,49",38,Gama8,Kate,iTj,Desc8,DescDet6,CASA,7,Julho,2018,2º (MAI-AGO),2983639 - DescDet6
1713965,Pediatria,CLINTOPS,21-04-2021,"241,85",187,Gama6,Julia,CJB,Desc11,DescDet6,CLIN,4,Abril,2021,1º (JAN-ABR),1713965 - DescDet6
9807652,Ginecologia,CLINTA,09-06-2021,"894,74",26,Gama7,Jennifer,sWy,Desc8,DescDet9,CLIN,6,Junho,2021,2º (MAI-AGO),9807652 - DescDet9
5868570,Ortopedia,CASAMED,26-01-2020,"434,75",44,Gama9,Sandra,TGX,Desc6,DescDet9,CASA,1,Janeiro,2020,1º (JAN-ABR),5868570 - DescDet9
1713965,Pediatria,CLINTOPS,13-10-2021,"360,06",17,Gama6,Julia,zmL,Desc11,DescDet6,CLIN,10,Outubro,2021,3º (SET-DEZ),1713965 - DescDet6
3295001,Ortopedia,CLINTAL,17-07-2023,"853,43",96,Gama8,Emma,rbh,Desc2,DescDet3,CLIN,7,Julho,2023,2º (MAI-AGO),3295001 - DescDet3
6872032,Pediatria,CLINTR,20-04-2019,"463,73",200,Gama4,Jennifer,WuW,Desc6,DescDet6,CLIN,4,Abril,2019,1º (JAN-ABR),6872032 - DescDet6
3295001,Ortopedia,CLINTAL,15-05-2021,"598,11",41,Gama8,Emma,xWn,Desc2,DescDet3,CLIN,5,Maio,2021,2º (MAI-AGO),3295001 - DescDet3
1713965,Pediatria,CLINTOPS,07-11-2022,"129,14",192,Gama6,Julia,RIP,Desc11,DescDet6,CLIN,11,Novembro,2022,3º (SET-DEZ),1713965 - DescDet6
2983639,Cardiologia,CASAJAR,04-08-2018,"258,15",184,Gama8,Kate,pHR,Desc8,DescDet6,CASA,8,Agosto,2018,2º (MAI-AGO),2983639 - DescDet6
6022768,Ortopedia,CLINTAL,25-12-2022,"193,21",37,Gama4,Charlize,STL,Desc9,DescDet6,CLIN,12,Dezembro,2022,3º (SET-DEZ),6022768 - DescDet6
6319300,Cardiologia,CASARE,18-04-2023,"482,35",80,Gama3,Keira,hyN,Desc8,DescDet1,CASA,4,Abril,2023,1º (JAN-ABR),6319300 - DescDet1
8687593,Cardiologia,CASARE,07-08-2022,"620,73",100,Gama5,Angelina,CJR,Desc3,DescDet4,CASA,8,Agosto,2022,2º (MAI-AGO),8687593 - DescDet4
0402501,Ginecologia,CASAJAR,04-11-2022,"286,6",102,Gama1,Keira,LSY,Desc5,DescDet1,CASA,11,Novembro,2022,3º (SET-DEZ),0402501 - DescDet1
6319300,Cardiologia,CASARE,19-11-2019,"870,83",122,Gama3,Keira,VDl,Desc8,DescDet1,CASA,11,Novembro,2019,3º (SET-DEZ),6319300 - DescDet1
0402501,Ginecologia,CASAJAR,09-01-2020,"261,25",164,Gama1,Keira,UJe,Desc5,DescDet1,CASA,1,Janeiro,2020,1º (JAN-ABR),0402501 - DescDet1
8687593,Cardiologia,CASARE,18-07-2023,"126,63",47,Gama5,Angelina,dtk,Desc3,DescDet4,CASA,7,Julho,2023,2º (MAI-AGO),8687593 - DescDet4
6872032,Pediatria,CLINTR,21-09-2018,"262,16",54,Gama4,Jennifer,QDf,Desc6,DescDet6,CLIN,9,Setembro,2018,3º (SET-DEZ),6872032 - DescDet6
5868570,Ortopedia,CASAMED,22-01-2023,"471,89",53,Gama9,Sandra,aBc,Desc6,DescDet9,CASA,1,Janeiro,2023,1º (JAN-ABR),5868570 - DescDet9
5868570,Ortopedia,CASAMED,30-08-2022,"964,97",157,Gama9,Sandra,iCX,Desc6,DescDet9,CASA,8,Agosto,2022,2º (MAI-AGO),5868570 - DescDet9
6319300,Cardiologia,CASARE,23-05-2020,"611,78",187,Gama3,Keira,Bgx,Desc8,DescDet1,CASA,5,Maio,2020,2º (MAI-AGO),6319300 - DescDet1
8687593,Cardiologia,CASARE,23-11-2018,"594,63",142,Gama5,Angelina,TrS,Desc3,DescDet4,CASA,11,Novembro,2018,3º (SET-DEZ),8687593 - DescDet4
9807652,Ginecologia,CLINTA,11-07-2021,"186,09",164,Gama7,Jennifer,mwR,Desc8,DescDet9,CLIN,7,Julho,2021,2º (MAI-AGO),9807652 - DescDet9
6872032,Pediatria,CLINTR,21-08-2022,"981,37",71,Gama4,Jennifer,RaN,Desc6,DescDet6,CLIN,8,Agosto,2022,2º (MAI-AGO),6872032 - DescDet6
6872032,Pediatria,CLINTR,05-02-2023,"339,53",108,Gama4,Jennifer,CAO,Desc6,DescDet6,CLIN,2,Fevereiro,2023,1º (JAN-ABR),6872032 - DescDet6
6525808,Outros,CLINTA,19-08-2019,"710,75",49,Gama2,Julia,Wot,Desc1,DescDet5,CLIN,8,Agosto,2019,2º (MAI-AGO),6525808 - DescDet5
2983639,Cardiologia,CASAJAR,24-05-2023,"341,77",188,Gama8,Kate,NuA,Desc8,DescDet6,CASA,5,Maio,2023,2º (MAI-AGO),2983639 - DescDet6
6525808,Outros,CLINTA,16-02-2023,"845,94",122,Gama2,Julia,XbC,Desc1,DescDet5,CLIN,2,Fevereiro,2023,1º (JAN-ABR),6525808 - DescDet5
5868570,Ortopedia,CASAMED,30-12-2022,"154,5",196,Gama9,Sandra,UvJ,Desc6,DescDet9,CASA,12,Dezembro,2022,3º (SET-DEZ),5868570 - DescDet9
9807652,Ginecologia,CLINTA,26-12-2018,"591,73",22,Gama7,Jennifer,Yrx,Desc8,DescDet9,CLIN,12,Dezembro,2018,3º (SET-DEZ),9807652 - DescDet9
6872032,Pediatria,CLINTR,07-07-2022,"881,52",69,Gama4,Jennifer,OxG,Desc6,DescDet6,CLIN,7,Julho,2022,2º (MAI-AGO),6872032 - DescDet6
1713965,Pediatria,CLINTOPS,03-01-2018,"505,52",173,Gama6,Julia,kdo,Desc11,DescDet6,CLIN,1,Janeiro,2018,1º (JAN-ABR),1713965 - DescDet6
2983639,Cardiologia,CASAJAR,02-01-2022,"895,18",158,Gama8,Kate,IuN,Desc8,DescDet6,CASA,1,Janeiro,2022,1º (JAN-ABR),2983639 - DescDet6
3295001,Ortopedia,CLINTAL,30-01-2021,"783,53",42,Gama8,Emma,bCI,Desc2,DescDet3,CLIN,1,Janeiro,2021,1º (JAN-ABR),3295001 - DescDet3
4225258,Ginecologia,CASAJAR,08-08-2021,"929,43",50,Gama6,Scarlett,Yik,Desc7,DescDet11,CASA,8,Agosto,2021,2º (MAI-AGO),4225258 - DescDet11
6319300,Cardiologia,CASARE,11-06-2023,"825,6",177,Gama3,Keira,qQo,Desc8,DescDet1,CASA,6,Junho,2023,2º (MAI-AGO),6319300 - DescDet1
6022768,Ortopedia,CLINTAL,02-05-2020,"172,35",169,Gama4,Charlize,mnb,Desc9,DescDet6,CLIN,5,Maio,2020,2º (MAI-AGO),6022768 - DescDet6
8687593,Cardiologia,CASARE,28-12-2023,"931,47",29,Gama5,Angelina,Bld,Desc3,DescDet4,CASA,12,Dezembro,2023,3º (SET-DEZ),8687593 - DescDet4
8687593,Cardiologia,CASARE,13-09-2018,"501,08",123,Gama5,Angelina,zSM,Desc3,DescDet4,CASA,9,Setembro,2018,3º (SET-DEZ),8687593 - DescDet4
6319300,Cardiologia,CASARE,17-11-2023,"800,68",119,Gama3,Keira,vvp,Desc8,DescDet1,CASA,11,Novembro,2023,3º (SET-DEZ),6319300 - DescDet1
9807652,Ginecologia,CLINTA,28-04-2020,"899,36",96,Gama7,Jennifer,PFv,Desc8,DescDet9,CLIN,4,Abril,2020,1º (JAN-ABR),9807652 - DescDet9
6740395,Ginecologia,CASAJAR,19-03-2019,"716,73",52,Gama1,Scarlett,wTA,Desc5,DescDet4,CASA,3,Março,2019,1º (JAN-ABR),6740395 - DescDet4
8687593,Cardiologia,CASARE,27-06-2018,"947,23",120,Gama5,Angelina,HOs,Desc3,DescDet4,CASA,6,Junho,2018,2º (MAI-AGO),8687593 - DescDet4
6872032,Pediatria,CLINTR,28-02-2019,"362,08",108,Gama4,Jennifer,lvP,Desc6,DescDet6,CLIN,2,Fevereiro,2019,1º (JAN-ABR),6872032 - DescDet6
5868570,Ortopedia,CASAMED,02-09-2021,"278,46",161,Gama9,Sandra,Iws,Desc6,DescDet9,CASA,9,Setembro,2021,3º (SET-DEZ),5868570 - DescDet9
6740395,Ginecologia,CASAJAR,10-12-2022,"266,27",96,Gama1,Scarlett,FpU,Desc5,DescDet4,CASA,12,Dezembro,2022,3º (SET-DEZ),6740395 - DescDet4
2202126,Outros,CASARE,09-12-2022,"851,62",111,Gama8,Meryl,lzo,Desc9,DescDet8,CASA,12,Dezembro,2022,3º (SET-DEZ),2202126 - DescDet8
6319300,Cardiologia,CASARE,25-02-2018,"265,19",43,Gama3,Keira,btk,Desc8,DescDet1,CASA,2,Fevereiro,2018,1º (JAN-ABR),6319300 - DescDet1
6319300,Cardiologia,CASARE,03-09-2023,"925,14",23,Gama3,Keira,vtI,Desc8,DescDet1,CASA,9,Setembro,2023,3º (SET-DEZ),6319300 - DescDet1
1713965,Pediatria,CLINTOPS,02-04-2020,"439,06",37,Gama6,Julia,qXg,Desc11,DescDet6,CLIN,4,Abril,2020,1º (JAN-ABR),1713965 - DescDet6
6319300,Cardiologia,CASARE,03-05-2018,"301,49",38,Gama3,Keira,QeK,Desc8,DescDet1,CASA,5,Maio,2018,2º (MAI-AGO),6319300 - DescDet1
1713965,Pediatria,CLINTOPS,21-11-2021,"201,82",26,Gama6,Julia,tFP,Desc11,DescDet6,CLIN,11,Novembro,2021,3º (SET-DEZ),1713965 - DescDet6
6740395,Ginecologia,CASAJAR,25-06-2018,"827,51",96,Gama1,Scarlett,ulK,Desc5,DescDet4,CASA,6,Junho,2018,2º (MAI-AGO),6740395 - DescDet4
5868570,Ortopedia,CASAMED,12-10-2021,"243,92",94,Gama9,Sandra,clD,Desc6,DescDet9,CASA,10,Outubro,2021,3º (SET-DEZ),5868570 - DescDet9
6319300,Cardiologia,CASARE,10-06-2018,"350,77",72,Gama3,Keira,Hmn,Desc8,DescDet1,CASA,6,Junho,2018,2º (MAI-AGO),6319300 - DescDet1
9807652,Ginecologia,CLINTA,05-06-2022,"499,24",75,Gama7,Jennifer,fET,Desc8,DescDet9,CLIN,6,Junho,2022,2º (MAI-AGO),9807652 - DescDet9
3322966,Pediatria,CLINTAL,30-04-2018,"981,0",167,Gama3,Scarlett,UlB,Desc2,DescDet3,CLIN,4,Abril,2018,1º (JAN-ABR),3322966 - DescDet3
0402501,Ginecologia,CASAJAR,12-06-2020,"924,29",38,Gama1,Keira,VQN,Desc5,DescDet1,CASA,6,Junho,2020,2º (MAI-AGO),0402501 - DescDet1
6022768,Ortopedia,CLINTAL,24-01-2019,"104,8",78,Gama4,Charlize,UqA,Desc9,DescDet6,CLIN,1,Janeiro,2019,1º (JAN-ABR),6022768 - DescDet6
0402501,Ginecologia,CASAJAR,11-10-2021,"300,06",197,Gama1,Keira,opp,Desc5,DescDet1,CASA,10,Outubro,2021,3º (SET-DEZ),0402501 - DescDet1
6872032,Pediatria,CLINTR,06-03-2019,"606,54",192,Gama4,Jennifer,EIt,Desc6,DescDet6,CLIN,3,Março,2019,1º (JAN-ABR),6872032 - DescDet6
4225258,Ginecologia,CASAJAR,30-06-2021,"767,29",10,Gama6,Scarlett,Qwb,Desc7,DescDet11,CASA,6,Junho,2021,2º (MAI-AGO),4225258 - DescDet11
2202126,Outros,CASARE,29-08-2020,"780,61",105,Gama8,Meryl,bpL,Desc9,DescDet8,CASA,8,Agosto,2020,2º (MAI-AGO),2202126 - DescDet8
6022768,Ortopedia,CLINTAL,19-06-2020,"392,59",180,Gama4,Charlize,zum,Desc9,DescDet6,CLIN,6,Junho,2020,2º (MAI-AGO),6022768 - DescDet6
5868570,Ortopedia,CASAMED,11-11-2018,"154,78",154,Gama9,Sandra,bvP,Desc6,DescDet9,CASA,11,Novembro,2018,3º (SET-DEZ),5868570 - DescDet9
9807652,Ginecologia,CLINTA,19-05-2022,"892,88",145,Gama7,Jennifer,EhB,Desc8,DescDet9,CLIN,5,Maio,2022,2º (MAI-AGO),9807652 - DescDet9
3322966,Pediatria,CLINTAL,29-04-2019,"654,2",28,Gama3,Scarlett,rXF,Desc2,DescDet3,CLIN,4,Abril,2019,1º (JAN-ABR),3322966 - DescDet3
9807652,Ginecologia,CLINTA,06-09-2019,"651,47",198,Gama7,Jennifer,xcq,Desc8,DescDet9,CLIN,9,Setembro,2019,3º (SET-DEZ),9807652 - DescDet9
3295001,Ortopedia,CLINTAL,06-02-2018,"987,98",47,Gama8,Emma,wRe,Desc2,DescDet3,CLIN,2,Fevereiro,2018,1º (JAN-ABR),3295001 - DescDet3
6022768,Ortopedia,CLINTAL,21-12-2020,"392,54",46,Gama4,Charlize,UWK,Desc9,DescDet6,CLIN,12,Dezembro,2020,3º (SET-DEZ),6022768 - DescDet6
2983639,Cardiologia,CASAJAR,27-08-2020,"728,99",157,Gama8,Kate,gYM,Desc8,DescDet6,CASA,8,Agosto,2020,2º (MAI-AGO),2983639 - DescDet6
2983639,Cardiologia,CASAJAR,09-09-2019,"297,09",131,Gama8,Kate,Rlc,Desc8,DescDet6,CASA,9,Setembro,2019,3º (SET-DEZ),2983639 - DescDet6
1713965,Pediatria,CLINTOPS,22-12-2018,"644,24",75,Gama6,Julia,YFH,Desc11,DescDet6,CLIN,12,Dezembro,2018,3º (SET-DEZ),1713965 - DescDet6
8687593,Cardiologia,CASARE,15-04-2022,"214,5",89,Gama5,Angelina,fGJ,Desc3,DescDet4,CASA,4,Abril,2022,1º (JAN-ABR),8687593 - DescDet4
6872032,Pediatria,CLINTR,10-09-2020,"730,64",91,Gama4,Jennifer,gZJ,Desc6,DescDet6,CLIN,9,Setembro,2020,3º (SET-DEZ),6872032 - DescDet6
0402501,Ginecologia,CASAJAR,03-11-2018,"992,18",143,Gama1,Keira,DuE,Desc5,DescDet1,CASA,11,Novembro,2018,3º (SET-DEZ),0402501 - DescDet1
2202126,Outros,CASARE,02-06-2020,"543,93",71,Gama8,Meryl,DUE,Desc9,DescDet8,CASA,6,Junho,2020,2º (MAI-AGO),2202126 - DescDet8
2202126,Outros,CASARE,06-03-2023,"586,83",185,Gama8,Meryl,rMJ,Desc9,DescDet8,CASA,3,Março,2023,1º (JAN-ABR),2202126 - DescDet8
9807652,Ginecologia,CLINTA,11-01-2022,"178,31",197,Gama7,Jennifer,GaG,Desc8,DescDet9,CLIN,1,Janeiro,2022,1º (JAN-ABR),9807652 - DescDet9
6740395,Ginecologia,CASAJAR,30-07-2021,"905,33",86,Gama1,Scarlett,ous,Desc5,DescDet4,CASA,7,Julho,2021,2º (MAI-AGO),6740395 - DescDet4
6319300,Cardiologia,CASARE,25-01-2020,"206,09",86,Gama3,Keira,xdY,Desc8,DescDet1,CASA,1,Janeiro,2020,1º (JAN-ABR),6319300 - DescDet1
3322966,Pediatria,CLINTAL,02-05-2021,"448,86",131,Gama3,Scarlett,eBv,Desc2,DescDet3,CLIN,5,Maio,2021,2º (MAI-AGO),3322966 - DescDet3
6525808,Outros,CLINTA,21-07-2018,"413,26",139,Gama2,Julia,eoc,Desc1,DescDet5,CLIN,7,Julho,2018,2º (MAI-AGO),6525808 - DescDet5
6740395,Ginecologia,CASAJAR,27-03-2023,"142,98",161,Gama1,Scarlett,Cam,Desc5,DescDet4,CASA,3,Março,2023,1º (JAN-ABR),6740395 - DescDet4
6740395,Ginecologia,CASAJAR,08-05-2022,"977,45",40,Gama1,Scarlett,NOi,Desc5,DescDet4,CASA,5,Maio,2022,2º (MAI-AGO),6740395 - DescDet4
8687593,Cardiologia,CASARE,15-12-2022,"606,89",147,Gama5,Angelina,Oew,Desc3,DescDet4,CASA,12,Dezembro,2022,3º (SET-DEZ),8687593 - DescDet4
6872032,Pediatria,CLINTR,15-07-2023,"486,31",50,Gama4,Jennifer,FoY,Desc6,DescDet6,CLIN,7,Julho,2023,2º (MAI-AGO),6872032 - DescDet6
6872032,Pediatria,CLINTR,16-07-2023,"212,89",56,Gama4,Jennifer,urD,Desc6,DescDet6,CLIN,7,Julho,2023,2º (MAI-AGO),6872032 - DescDet6
6525808,Outros,CLINTA,22-11-2023,"487,4",60,Gama2,Julia,PKP,Desc1,DescDet5,CLIN,11,Novembro,2023,3º (SET-DEZ),6525808 - DescDet5
4225258,Ginecologia,CASAJAR,23-05-2021,"477,8",192,Gama6,Scarlett,QXg,Desc7,DescDet11,CASA,5,Maio,2021,2º (MAI-AGO),4225258 - DescDet11
1713965,Pediatria,CLINTOPS,06-08-2023,"455,62",163,Gama6,Julia,ZJu,Desc11,DescDet6,CLIN,8,Agosto,2023,2º (MAI-AGO),1713965 - DescDet6
4225258,Ginecologia,CASAJAR,27-05-2018,"398,01",194,Gama6,Scarlett,zXI,Desc7,DescDet11,CASA,5,Maio,2018,2º (MAI-AGO),4225258 - DescDet11
3322966,Pediatria,CLINTAL,01-09-2022,"254,48",12,Gama3,Scarlett,opC,Desc2,DescDet3,CLIN,9,Setembro,2022,3º (SET-DEZ),3322966 - DescDet3
6022768,Ortopedia,CLINTAL,19-02-2018,"876,71",127,Gama4,Charlize,HDa,Desc9,DescDet6,CLIN,2,Fevereiro,2018,1º (JAN-ABR),6022768 - DescDet6
8687593,Cardiologia,CASARE,15-08-2023,"597,67",15,Gama5,Angelina,duY,Desc3,DescDet4,CASA,8,Agosto,2023,2º (MAI-AGO),8687593 - DescDet4
6022768,Ortopedia,CLINTAL,18-01-2022,"373,35",72,Gama4,Charlize,Drn,Desc9,DescDet6,CLIN,1,Janeiro,2022,1º (JAN-ABR),6022768 - DescDet6
6740395,Ginecologia,CASAJAR,30-07-2019,"979,51",108,Gama1,Scarlett,lGB,Desc5,DescDet4,CASA,7,Julho,2019,2º (MAI-AGO),6740395 - DescDet4
6740395,Ginecologia,CASAJAR,27-10-2023,"629,3",97,Gama1,Scarlett,iuP,Desc5,DescDet4,CASA,10,Outubro,2023,3º (SET-DEZ),6740395 - DescDet4
3295001,Ortopedia,CLINTAL,11-03-2019,"338,3",110,Gama8,Emma,QjQ,Desc2,DescDet3,CLIN,3,Março,2019,1º (JAN-ABR),3295001 - DescDet3
8687593,Cardiologia,CASARE,21-09-2020,"774,03",183,Gama5,Angelina,MmI,Desc3,DescDet4,CASA,9,Setembro,2020,3º (SET-DEZ),8687593 - DescDet4
6022768,Ortopedia,CLINTAL,15-07-2018,"627,75",29,Gama4,Charlize,Otq,Desc9,DescDet6,CLIN,7,Julho,2018,2º (MAI-AGO),6022768 - DescDet6
6740395,Ginecologia,CASAJAR,18-10-2018,"121,06",91,Gama1,Scarlett,jbs,Desc5,DescDet4,CASA,10,Outubro,2018,3º (SET-DEZ),6740395 - DescDet4
9807652,Ginecologia,CLINTA,03-08-2023,"750,51",198,Gama7,Jennifer,TEr,Desc8,DescDet9,CLIN,8,Agosto,2023,2º (MAI-AGO),9807652 - DescDet9
0402501,Ginecologia,CASAJAR,24-02-2020,"555,1",142,Gama1,Keira,fOD,Desc5,DescDet1,CASA,2,Fevereiro,2020,1º (JAN-ABR),0402501 - DescDet1
3322966,Pediatria,CLINTAL,01-08-2023,"591,52",135,Gama3,Scarlett,dtO,Desc2,DescDet3,CLIN,8,Agosto,2023,2º (MAI-AGO),3322966 - DescDet3
0402501,Ginecologia,CASAJAR,20-03-2019,"371,22",132,Gama1,Keira,AKN,Desc5,DescDet1,CASA,3,Março,2019,1º (JAN-ABR),0402501 - DescDet1
4225258,Ginecologia,CASAJAR,30-06-2023,"102,51",36,Gama6,Scarlett,lAU,Desc7,DescDet11,CASA,6,Junho,2023,2º (MAI-AGO),4225258 - DescDet11
4225258,Ginecologia,CASAJAR,29-05-2020,"773,37",160,Gama6,Scarlett,lUa,Desc7,DescDet11,CASA,5,Maio,2020,2º (MAI-AGO),4225258 - DescDet11
0402501,Ginecologia,CASAJAR,20-10-2020,"994,35",78,Gama1,Keira,PFy,Desc5,DescDet1,CASA,10,Outubro,2020,3º (SET-DEZ),0402501 - DescDet1
3322966,Pediatria,CLINTAL,25-07-2023,"778,18",185,Gama3,Scarlett,xDD,Desc2,DescDet3,CLIN,7,Julho,2023,2º (MAI-AGO),3322966 - DescDet3
1713965,Pediatria,CLINTOPS,14-10-2020,"861,84",144,Gama6,Julia,buV,Desc11,DescDet6,CLIN,10,Outubro,2020,3º (SET-DEZ),1713965 - DescDet6
6319300,Cardiologia,CASARE,25-03-2019,"119,53",78,Gama3,Keira,VPw,Desc8,DescDet1,CASA,3,Março,2019,1º (JAN-ABR),6319300 - DescDet1
6740395,Ginecologia,CASAJAR,23-12-2023,"140,14",194,Gama1,Scarlett,jyR,Desc5,DescDet4,CASA,12,Dezembro,2023,3º (SET-DEZ),6740395 - DescDet4
2202126,Outros,CASARE,12-06-2023,"109,21",163,Gama8,Meryl,TbG,Desc9,DescDet8,CASA,6,Junho,2023,2º (MAI-AGO),2202126 - DescDet8
6319300,Cardiologia,CASARE,25-01-2022,"743,38",113,Gama3,Keira,utL,Desc8,DescDet1,CASA,1,Janeiro,2022,1º (JAN-ABR),6319300 - DescDet1
1713965,Pediatria,CLINTOPS,22-06-2018,"192,95",92,Gama6,Julia,PVC,Desc11,DescDet6,CLIN,6,Junho,2018,2º (MAI-AGO),1713965 - DescDet6
2983639,Cardiologia,CASAJAR,24-12-2018,"963,85",119,Gama8,Kate,QiV,Desc8,DescDet6,CASA,12,Dezembro,2018,3º (SET-DEZ),2983639 - DescDet6
6319300,Cardiologia,CASARE,12-04-2020,"860,0",165,Gama3,Keira,BvL,Desc8,DescDet1,CASA,4,Abril,2020,1º (JAN-ABR),6319300 - DescDet1
